#COL_NUMBER,#RES_PAIR_COLUMN_SCORE
29,0.502500
30,0.318250
31,0.228667
32,0.190952
33,0.297675
34,0.287460
35,0.253458
36,0.187917
37,0.226896
38,0.203292
39,0.276970
40,0.324455
41,0.324500
42,0.418929
43,0.440500
44,0.434500
45,0.185833
46,0.247639
47,0.163955
48,0.137960
49,0.118763
50,0.128874
51,0.187033
52,0.418333
53,0.970833
54,0.962500
55,0.965833
56,0.964167
57,0.960833
58,0.960833
59,0.922500
60,0.933333
63,0.686667
64,0.264500
65,0.686667
66,0.629167
67,0.506667
68,0.506667
69,0.506667
70,0.623333
71,0.623333
72,0.623333
73,0.621667
74,0.621667
75,0.455395
76,0.441324
77,0.455189
78,0.938333
79,0.308000
80,0.222833
81,0.136667
82,0.299097
83,0.315000
84,0.339167
85,0.359167
86,0.462909
87,0.378619
88,0.536151
89,0.688870
90,0.846407
91,0.941402
92,0.923383
93,0.931412
94,0.945559
95,0.949269
96,0.940925
97,0.965539
98,0.967086
99,0.970999
100,0.971370
101,0.978393
102,0.980894
103,0.989504
104,0.993103
105,0.994899
106,0.996296
107,0.995563
108,0.995563
109,0.814629
110,0.815279
111,0.815279
112,0.853846
113,0.873629
114,0.898604
115,0.899170
116,0.999677
117,0.999677
118,0.999677
119,0.999677
120,0.999355
121,0.999355
122,0.999355
123,0.998392
124,0.997768
125,0.997768
126,0.997768
127,0.997768
128,0.997768
129,0.997768
130,0.997768
131,0.998086
132,0.997139
133,0.989461
134,0.988514
135,0.988191
136,0.987271
137,0.985706
138,0.981306
139,0.961565
140,0.887480
141,0.719333
142,0.506000
143,0.500000
144,0.534000
145,0.841667
146,0.514000
147,0.702718
148,0.709944
149,0.717721
150,0.723667
151,0.720492
152,1.000000
153,0.796989
154,0.861907
155,1.000000
156,1.000000
157,1.000000
158,0.971100
159,0.989191
160,0.989191
161,0.989191
162,0.989191
163,0.993490
164,0.996013
165,1.000000
166,1.000000
167,1.000000
168,1.000000
169,1.000000
170,1.000000
171,1.000000
172,1.000000
173,1.000000
174,1.000000
175,1.000000
176,1.000000
177,1.000000
178,1.000000
179,1.000000
180,1.000000
181,1.000000
182,1.000000
183,1.000000
184,1.000000
185,0.990862
186,0.992044
187,0.993226
188,0.993226
189,0.992290
190,0.992290
191,0.992290
192,0.705128
193,0.731930
194,0.793279
195,0.844897
196,0.856975
197,0.931584
198,0.989413
199,0.989413
200,0.998128
201,1.000000
202,1.000000
203,1.000000
204,1.000000
205,1.000000
206,1.000000
207,1.000000
208,1.000000
209,1.000000
210,0.996454
211,0.996454
212,0.986667
213,0.983333
214,0.948333
215,0.832072
216,0.828017
217,0.776723
218,0.386250
219,0.037500
220,0.032500
221,0.287292
222,0.285625
223,0.290804
224,0.382054
225,0.710671
226,0.699294
227,0.673153
231,0.608061
232,0.415667
233,0.422143
234,0.556786
235,0.596548
236,0.571875
237,0.605528
238,0.661137
239,0.758033
240,0.786742
241,0.803101
242,0.787382
243,0.791877
244,0.791877
245,0.879651
246,0.875762
247,0.989493
248,0.987827
249,0.987642
250,0.985985
251,0.983690
253,0.968788
254,0.967096
255,0.967406
256,0.968447
257,0.971309
258,0.988480
259,0.989022
260,0.989029
261,0.990860
262,0.993361
263,0.890306
264,0.833088
265,0.863517
266,0.898567
267,0.911896
268,0.996859
269,0.997327
270,0.997306
271,0.997306
272,0.997306
273,0.997306
274,0.998731
275,0.998731
276,1.000000
277,1.000000
278,1.000000
279,1.000000
280,1.000000
281,1.000000
282,1.000000
283,1.000000
284,1.000000
285,1.000000
286,1.000000
287,1.000000
288,1.000000
289,1.000000
290,1.000000
291,1.000000
292,1.000000
293,1.000000
294,1.000000
295,1.000000
296,1.000000
297,1.000000
298,1.000000
299,1.000000
300,1.000000
301,1.000000
302,1.000000
303,0.981935
304,0.981935
305,0.981935
306,0.979886
307,0.978292
308,0.978292
310,0.980163
311,0.985886
312,0.992356
313,0.998710
314,0.999516
315,1.000000
316,1.000000
317,1.000000
318,1.000000
319,1.000000
320,1.000000
321,1.000000
322,1.000000
323,1.000000
324,1.000000
325,1.000000
326,1.000000
327,1.000000
328,1.000000
329,1.000000
330,1.000000
331,0.999194
332,1.000000
333,1.000000
334,0.990590
335,0.976123
336,0.976123
337,0.951992
338,0.951992
339,0.951992
340,0.973550
341,0.973550
342,0.973550
344,0.987365
345,0.991321
346,0.991321
347,0.991321
348,0.991684
349,0.981212
350,0.965349
351,0.958729
352,0.883338
353,0.862286
354,0.858659
355,0.853778
356,0.893462
357,0.897111
358,0.909048
359,0.600000
360,0.260000
