#analysis: Bf201311
#Total bases:	13357
#Adenine:	3434 (25.7 %)
#Guanine:	1149 ( 8.6 %)
#Cytosine:	1127 ( 8.4 %)
#Thymine:	7647 (57.3 %)
#G+C content(in %):	17.0 %
#A+T content(in %):	83.0 %
#G+A content(in %):	34.3 %
#C+T content(in %):	65.7 %
#G+T content(in %):	65.9 %
#A+C content(in %):	34.1 %
#Average Peak of the spectrum :	0.00054987
Position	Peak
0	33.814554
20	20.166187
40	23.233646
60	25.347339
80	39.412804
100	43.609885
120	47.976169
140	61.388759
160	54.393131
180	80.463672
200	78.686495
220	85.473007
240	72.731066
260	95.768914
280	79.325533
300	61.590150
320	82.634237
340	80.160356
360	80.314632
380	75.453997
400	48.202964
420	39.961938
440	33.724441
460	38.904447
480	36.542554
500	34.888835
520	35.331144
540	40.390749
560	48.165945
580	36.611126
600	42.564748
620	44.689259
640	56.934456
660	51.041256
680	48.690269
700	65.265570
720	68.154634
740	69.471224
760	49.086496
780	51.044724
800	48.479993
820	58.107206
840	44.123553
860	48.783615
880	47.141106
900	34.215556
920	30.117439
940	24.993584
960	25.760670
980	30.778337
1000	30.900138
1020	25.098245
1040	29.320305
1060	34.267908
1080	33.870803
1100	28.919564
1120	11.727726
1140	12.488267
1160	14.606980
1180	13.697292
1200	8.315027
1220	6.335080
1240	4.288127
1260	5.558371
1280	4.100056
1300	4.263553
1320	8.704204
1340	11.690673
1360	6.315757
1380	6.201601
1400	4.982250
1420	3.433209
1440	3.448798
1460	9.383073
1480	9.967295
1500	11.159300
1520	19.821294
1540	31.251428
1560	29.327518
1580	12.698188
1600	23.200317
1620	20.618818
1640	17.304279
1660	16.729143
1680	6.302209
1700	9.509523
1720	10.745023
1740	7.589228
1760	13.264754
1780	8.522107
1800	7.310559
1820	2.494840
1840	5.006796
1860	1.550380
1880	7.953003
1900	7.044689
1920	6.522689
1940	6.880501
1960	2.632738
1980	5.051646
2000	1.646064
2020	4.340988
2040	3.585485
2060	5.674513
2080	7.703170
2100	7.595523
2120	8.333631
2140	7.445651
2160	3.021806
2180	6.264827
2200	5.255209
2220	14.397817
2240	14.957833
2260	7.091527
2280	3.267740
2300	4.418169
2320	2.142324
2340	4.347731
2360	3.740201
2380	5.644452
2400	6.685354
2420	5.093554
2440	6.994529
2460	14.991568
2480	10.870578
2500	11.832466
2520	31.631524
2540	32.488578
2560	27.964598
2580	19.219499
2600	14.203544
2620	24.293052
2640	21.443048
2660	24.577375
2680	22.961178
2700	25.200783
2720	23.758472
2740	19.444694
2760	15.845687
2780	8.694477
2800	6.767414
2820	8.153130
2840	1.462693
2860	4.111874
