#analysis: Bf201706
#Total bases:	13338
#Adenine:	3412 (25.6 %)
#Guanine:	1154 ( 8.7 %)
#Cytosine:	1151 ( 8.6 %)
#Thymine:	7621 (57.1 %)
#G+C content(in %):	17.3 %
#A+T content(in %):	82.7 %
#G+A content(in %):	34.2 %
#C+T content(in %):	65.8 %
#G+T content(in %):	65.8 %
#A+C content(in %):	34.2 %
#Average Peak of the spectrum :	0.00055001
Position	Peak
0	35.030841
20	21.458107
40	18.474884
60	29.393633
80	32.223948
100	29.076394
120	45.067029
140	63.171186
160	56.251040
180	73.479133
200	78.578562
220	68.330619
240	71.142500
260	85.171926
280	88.634633
300	72.829176
320	98.043233
340	100.177606
360	82.593675
380	65.298009
400	60.440061
420	40.704163
440	29.081978
460	41.137825
480	40.152138
500	35.929476
520	27.336937
540	50.739544
560	49.211294
580	33.550200
600	50.508550
620	44.326772
640	48.170561
660	46.918392
680	49.772793
700	44.770745
720	63.933994
740	59.930117
760	52.939250
780	47.192681
800	38.666781
820	47.625628
840	35.433935
860	32.222875
880	52.985399
900	40.308390
920	33.035135
940	28.687160
960	33.711016
980	29.091421
1000	27.507650
1020	17.219492
1040	25.664578
1060	29.085553
1080	24.093997
1100	23.130403
1120	12.574900
1140	5.571674
1160	7.193892
1180	9.240881
1200	4.886299
1220	3.463805
1240	5.040059
1260	8.068544
1280	2.685382
1300	4.046272
1320	9.897353
1340	8.510067
1360	7.347616
1380	9.590775
1400	5.571523
1420	4.201615
1440	7.043780
1460	9.016778
1480	14.175655
1500	11.269285
1520	17.204823
1540	20.390054
1560	21.035273
1580	22.025464
1600	14.049396
1620	12.944839
1640	19.209283
1660	7.643058
1680	5.826524
1700	7.247051
1720	9.804758
1740	7.892218
1760	6.079222
1780	3.664476
1800	5.314277
1820	3.749868
1840	4.524448
1860	3.029314
1880	6.354780
1900	10.730307
1920	10.488629
1940	4.941381
1960	2.629546
1980	3.092864
2000	4.202606
2020	4.425645
2040	8.170174
2060	4.468389
2080	7.198218
2100	10.360685
2120	4.154564
2140	7.712714
2160	6.301478
2180	9.151546
2200	13.014395
2220	13.704646
2240	23.114220
2260	11.802641
2280	5.442984
2300	4.723902
2320	2.066055
2340	2.927777
2360	3.665589
2380	6.818545
2400	9.501005
2420	3.240486
2440	7.221022
2460	21.033831
2480	17.733037
2500	20.519274
2520	31.005308
2540	31.831855
2560	30.463610
2580	11.678488
2600	6.853357
2620	27.366543
2640	26.067862
2660	20.258376
2680	29.206846
2700	31.720888
2720	23.030121
2740	20.769106
2760	14.424560
2780	7.450342
2800	5.435245
2820	6.021828
2840	3.049707
2860	1.723711
2880	6.438992
2900	4.311645
2920	5.230094
2940	6.310070
2960	14.234507
2980	17.325546
3000	21.243489
3020	20.887307
3040	17.120747
3060	20.482664
3080	9.899133
3100	10.841061
3120	11.851618
3140	10.624468
3160	9.860442
3180	6.199171
3200	8.220802
3220	11.206260
3240	10.475249
3260	6.628864
3280	8.190918
3300	14.493771
3320	18.858663
3340	11.778457
3360	17.905361
3380	11.703264
3400	22.624291
3420	24.223505
3440	23.552213
3460	12.070359
3480	11.164752
3500	10.368954
3520	9.364094
3540	12.364008
3560	15.560611
3580	11.899842
3600	11.904783
3620	10.583198
3640	7.802429
3660	13.372163
3680	19.962016
3700	9.038487
3720	7.927763
3740	11.258462
3760	8.429375
3780	13.283947
3800	5.824299
3820	13.304891
3840	11.037653
3860	10.451676
3880	14.356883
3900	11.327923
3920	10.005805
3940	6.030237
3960	6.913221
3980	4.303428
4000	2.698799
4020	3.101771
4040	3.073471
4060	2.621782
4080	4.596603
4100	9.096358
4120	9.176003
4140	5.924213
4160	4.668551
4180	1.266777
4200	2.067120
4220	5.088819
4240	10.705201
4260	7.635964
4280	11.776190
4300	20.561478
4320	13.305745
4340	19.028415
4360	27.371446
4380	20.007436
4400	12.897795
4420	8.583936
4440	16.216796
4460	17.969703
4480	16.778232
4500	26.990439
4520	16.670019
4540	10.490363
4560	9.521072
4580	13.524440
4600	4.010042
4620	18.812369
4640	33.831330
4660	17.536354
4680	19.630912
4700	16.116416
4720	20.980524
4740	9.191542
4760	17.096328
4780	24.780440
4800	31.295629
4820	19.471414
4840	29.438698
4860	35.083077
4880	24.650457
4900	21.475963
4920	21.852999
4940	23.176422
4960	19.505847
4980	15.445087
5000	20.657826
5020	23.902238
5040	32.468133
5060	18.773095
5080	17.282921
5100	17.411282
5120	18.285923
5140	13.962227
5160	20.019239
5180	23.554954
5200	13.878001
5220	16.612030
5240	9.258955
5260	23.246746
5280	16.298481
5300	9.913452
5320	10.983807
5340	13.204869
5360	18.484886
5380	11.287474
5400	12.108836
5420	6.524781
5440	4.427514
5460	4.166100
5480	5.201374
5500	7.409462
5520	5.925637
5540	6.655621
5560	3.354717
5580	6.218535
5600	6.437159
5620	14.937987
5640	16.590763
5660	31.933616
5680	19.769612
5700	23.730332
5720	14.971977
5740	15.159913
5760	28.752254
5780	35.186096
5800	15.215997
5820	20.762975
5840	22.048250
5860	18.378062
5880	15.993517
5900	23.348119
5920	18.314557
5940	22.058629
5960	11.836788
5980	20.383073
6000	18.581288
6020	15.758757
6040	12.442776
6060	16.277383
6080	10.413412
6100	10.315020
6120	14.851891
6140	14.660964
6160	21.455279
6180	22.354506
6200	17.715084
6220	17.535566
6240	16.467812
6260	18.814174
6280	20.614498
6300	15.577948
6320	14.971384
6340	23.392386
6360	33.282148
6380	27.003229
6400	28.585490
6420	23.953127
6440	29.323062
6460	24.494528
6480	34.572535
6500	43.788042
6520	37.194583
6540	41.510555
6560	49.092647
6580	43.871023
6600	46.758411
6620	58.441603
6640	46.743461
6660	28.834142
6680	27.206669
6700	30.511304
6720	24.289559
6740	17.442568
6760	18.076265
6780	16.469948
6800	10.452996
6820	10.435594
6840	6.774516
6860	3.902449
6880	5.692360
6900	3.974952
6920	3.195975
6940	1.915978
6960	2.754705
6980	2.611899
7000	4.295047
7020	8.007551
7040	12.315224
7060	15.638048
7080	11.770769
7100	6.615910
7120	10.844620
7140	17.407457
7160	6.190059
7180	8.226246
7200	10.018222
7220	8.536468
7240	4.248631
7260	7.648651
7280	11.355388
7300	12.716487
7320	12.987402
7340	19.972302
7360	18.530428
7380	9.137273
7400	11.750018
7420	5.188321
7440	4.815700
7460	5.771554
7480	5.494524
7500	10.071132
7520	5.544434
7540	7.233869
7560	10.198633
7580	5.960899
7600	3.883594
7620	6.808525
7640	7.970038
7660	8.141769
7680	12.141583
7700	19.197256
7720	25.386866
7740	22.291837
7760	16.231469
7780	21.344008
7800	24.026825
7820	12.503882
7840	21.467610
7860	17.990782
7880	20.073602
7900	29.931568
7920	39.240308
7940	32.665285
7960	30.422377
7980	30.201590
8000	30.752742
8020	30.582510
8040	30.461252
8060	35.157250
8080	33.788595
8100	30.823429
8120	38.214442
8140	28.945019
8160	42.370971
8180	28.798547
8200	35.097786
8220	20.391972
8240	19.626609
8260	29.890645
8280	17.664109
8300	21.906527
8320	20.527523
8340	23.695390
8360	17.351954
8380	15.562835
8400	14.603087
8420	15.334882
8440	10.735592
8460	10.646553
8480	5.861344
8500	1.688347
8520	2.201196
8540	1.480552
8560	5.082863
8580	3.539256
8600	8.128296
8620	6.899408
8640	10.413302
8660	6.348232
8680	13.486774
8700	6.045192
8720	5.869142
8740	6.295290
8760	4.222507
8780	8.514321
8800	6.314741
8820	7.915301
8840	5.303592
8860	16.163484
8880	16.836743
8900	9.368597
8920	11.343906
8940	25.548184
8960	16.098919
8980	11.609896
9000	22.510958
9020	12.028088
9040	11.545893
9060	8.269946
9080	7.778828
9100	6.113086
9120	7.507681
9140	8.332555
9160	13.538908
9180	17.073526
9200	21.392692
9220	22.808768
9240	17.242029
9260	18.142515
9280	32.079063
9300	37.234080
9320	31.501862
9340	39.975911
9360	27.079249
9380	35.386965
9400	48.728715
9420	51.645367
9440	54.746883
9460	57.960908
9480	48.812525
9500	68.300660
9520	44.953644
9540	40.230336
9560	34.561965
9580	25.708602
9600	34.561273
9620	25.835227
9640	17.393570
9660	12.826029
9680	5.026835
9700	10.906800
9720	7.726187
9740	10.043507
9760	6.596260
9780	6.759755
9800	10.235234
9820	8.783775
9840	10.042197
9860	5.682997
9880	8.042613
9900	10.323184
9920	6.465144
9940	3.533413
9960	4.210250
9980	4.413383
10000	8.816417
10020	5.624858
10040	6.079945
10060	4.161606
10080	2.168839
10100	4.679528
10120	2.917734
10140	4.070709
10160	7.173928
10180	6.841361
10200	4.139024
10220	3.721488
10240	1.805693
10260	8.906278
10280	1.917677
10300	3.296766
10320	0.666939
10340	3.718111
10360	1.227002
10380	3.216141
10400	4.605625
10420	14.439823
10440	22.065818
10460	18.833202
10480	21.329910
10500	21.348530
10520	20.084843
10540	24.852614
10560	18.380566
10580	23.535744
10600	10.206763
10620	13.131887
10640	6.856417
10660	14.146503
10680	17.783876
10700	16.953049
10720	12.201211
10740	14.784519
10760	7.977588
10780	17.978196
10800	11.621687
10820	6.097106
10840	8.398948
10860	13.630350
10880	14.775301
10900	16.131310
10920	12.831860
10940	11.017877
10960	11.277814
10980	6.123675
11000	12.483080
11020	15.633751
11040	11.615879
11060	16.620046
11080	16.900958
11100	23.597241
11120	25.436894
11140	28.897621
11160	25.410748
11180	22.473613
11200	18.127642
11220	23.296050
11240	23.262748
11260	17.226294
11280	13.850178
11300	16.758338
