#COL_NUMBER,#RES_PAIR_COLUMN_SCORE
1,0.437833
2,0.434333
3,0.434333
4,0.421000
5,1.000000
6,1.000000
7,1.000000
8,1.000000
9,1.000000
10,1.000000
11,1.000000
12,1.000000
13,1.000000
14,0.354444
15,0.310876
16,0.276567
17,0.274000
18,0.173000
20,0.826667
21,0.813393
22,0.876404
23,0.908320
24,0.907019
25,0.910299
26,0.572347
27,0.574642
28,0.579456
29,0.569604
30,0.573417
31,0.623823
32,0.682577
33,0.711697
34,0.810327
35,0.810597
36,0.737122
37,0.740608
38,0.685831
39,0.705253
40,0.714963
41,0.717673
42,0.720536
43,0.733768
44,0.761897
45,0.718281
46,0.716983
47,0.705049
48,0.695617
49,0.821002
50,0.685878
51,0.349551
52,0.345000
53,0.669333
54,0.996500
55,0.484081
56,0.794133
57,0.912316
58,0.938939
59,0.825764
60,0.836412
61,0.851068
62,0.880547
63,0.900463
64,0.969732
65,0.999839
66,1.000000
67,1.000000
68,1.000000
69,1.000000
70,0.993146
71,0.990862
72,0.990862
73,0.990862
74,0.990862
75,0.990862
76,0.990862
77,0.990862
78,0.990862
79,0.990862
80,0.990862
81,0.995431
82,0.995431
83,0.995431
84,0.995431
85,0.995431
86,1.000000
87,1.000000
88,1.000000
89,1.000000
90,1.000000
91,1.000000
92,1.000000
93,1.000000
94,1.000000
95,1.000000
96,1.000000
97,0.999839
98,0.996426
99,0.996426
100,0.996426
101,0.925395
102,0.919774
103,0.907548
104,0.775984
105,0.764564
106,0.762466
107,0.781839
108,0.688456
109,0.585674
110,0.365278
111,0.551469
112,0.400976
113,0.620042
114,1.000000
115,1.000000
116,0.876667
117,0.668333
118,0.668554
119,0.677924
120,0.729643
121,0.729044
122,0.744718
123,0.800266
124,0.847521
125,0.856120
126,0.859377
127,0.859728
128,0.864084
129,0.885906
130,0.890682
131,0.890682
132,0.890682
133,0.891112
134,0.891112
135,0.891112
136,0.891112
137,0.891112
138,0.998056
139,0.993361
140,0.993361
141,0.993361
142,0.993361
143,0.992648
144,0.992477
145,0.985528
146,0.983345
147,0.953660
148,0.917500
149,0.910000
150,0.985000
151,0.985000
152,0.985000
153,0.985000
154,0.638222
155,0.594889
156,0.705278
157,0.893571
158,0.893571
159,0.899048
160,0.888000
161,0.880000
162,0.880000
163,1.000000
